district,date,month,year,dvisitors_2019
Jangaon ,1/1/2019,January,2019,28750
Jangaon ,1/2/2019,February,2019,28810
Jangaon ,1/3/2019,March,2019,27300
Jangaon ,1/4/2019,April,2019,26160
Jangaon ,1/5/2019,May,2019,26740
Jangaon ,1/6/2019,June,2019,25820
Jangaon ,1/7/2019,July,2019,24160
Jangaon ,1/8/2019,August,2019,27800
Jangaon ,1/9/2019,September,2019,28640
Jangaon ,1/10/2019,October,2019,27840
Jangaon ,1/11/2019,November,2019,28410
Jangaon ,1/12/2019,December,2019,28460
Jayashankar Bhoopalpally,1/1/2019,January,2019,197430
Jayashankar Bhoopalpally,1/2/2019,February,2019,33500
Jayashankar Bhoopalpally,1/3/2019,March,2019,37500
Jayashankar Bhoopalpally,1/4/2019,April,2019,38500
Jayashankar Bhoopalpally,1/5/2019,May,2019,30800
Jayashankar Bhoopalpally,1/6/2019,June,2019,40500
Jayashankar Bhoopalpally,1/7/2019,July,2019,45500
Jayashankar Bhoopalpally,1/8/2019,August,2019,45000
Jayashankar Bhoopalpally,1/9/2019,September,2019,50500
Jayashankar Bhoopalpally,1/10/2019,October,2019,46000
Jayashankar Bhoopalpally,1/11/2019,November,2019,51500
Jayashankar Bhoopalpally,1/12/2019,December,2019,45800
Jogulamba Gadwal ,1/1/2019,January,2019,146441
Jogulamba Gadwal ,1/2/2019,February,2019,481110
Jogulamba Gadwal ,1/3/2019,March,2019,155013
Jogulamba Gadwal ,1/4/2019,April,2019,82334
Jogulamba Gadwal ,1/5/2019,May,2019,154609
Jogulamba Gadwal ,1/6/2019,June,2019,155013
Jogulamba Gadwal ,1/7/2019,July,2019,114951
Jogulamba Gadwal ,1/8/2019,August,2019,123733
Jogulamba Gadwal ,1/9/2019,September,2019,131485
Jogulamba Gadwal ,1/10/2019,October,2019,152898
Jogulamba Gadwal ,1/11/2019,November,2019,128075
Jogulamba Gadwal ,1/12/2019,December,2019,182333
Kamareddy ,1/1/2019,January,2019,42
Kamareddy ,1/2/2019,February,2019,41
Kamareddy ,1/3/2019,March,2019,45
Kamareddy ,1/4/2019,April,2019,41
Kamareddy ,1/5/2019,May,2019,46
Kamareddy ,1/6/2019,June,2019,41
Kamareddy ,1/7/2019,July,2019,50
Kamareddy ,1/8/2019,August,2019,50
Kamareddy ,1/9/2019,September,2019,41
Kamareddy ,1/10/2019,October,2019,46
Kamareddy ,1/11/2019,November,2019,46
Kamareddy ,1/12/2019,December,2019,45
Karimnagar ,1/1/2019,January,2019,10285
Karimnagar ,1/2/2019,February,2019,6480
Karimnagar ,1/3/2019,March,2019,6634
Karimnagar ,1/4/2019,April,2019,5623
Karimnagar ,1/5/2019,May,2019,3393
Karimnagar ,1/6/2019,June,2019,3871
Karimnagar ,1/7/2019,July,2019,5192
Karimnagar ,1/8/2019,August,2019,5480
Karimnagar ,1/9/2019,September,2019,8735
Karimnagar ,1/10/2019,October,2019,6799
Karimnagar ,1/11/2019,November,2019,7101
Karimnagar ,1/12/2019,December,2019,7898
Khammam,1/1/2019,January,2019,123550
Khammam,1/2/2019,February,2019,98471
Khammam,1/3/2019,March,2019,91340
Khammam,1/4/2019,April,2019,135920
Khammam,1/5/2019,May,2019,130971
Khammam,1/6/2019,June,2019,127270
Khammam,1/7/2019,July,2019,103260
Khammam,1/8/2019,August,2019,111374
Khammam,1/9/2019,September,2019,133754
Khammam,1/10/2019,October,2019,128625
Khammam,1/11/2019,November,2019,104380
Khammam,1/12/2019,December,2019,124525
Komaram Bheem Asifabad,1/1/2019,January,2019,2476
Komaram Bheem Asifabad,1/2/2019,February,2019,1449
Komaram Bheem Asifabad,1/3/2019,March,2019,1212
Komaram Bheem Asifabad,1/4/2019,April,2019,663
Komaram Bheem Asifabad,1/5/2019,May,2019,493
Komaram Bheem Asifabad,1/6/2019,June,2019,506
Komaram Bheem Asifabad,1/7/2019,July,2019,1287
Komaram Bheem Asifabad,1/8/2019,August,2019,2572
Komaram Bheem Asifabad,1/9/2019,September,2019,1629
Komaram Bheem Asifabad,1/10/2019,October,2019,1943
Komaram Bheem Asifabad,1/11/2019,November,2019,2176
Komaram Bheem Asifabad,1/12/2019,December,2019,2783
Mahabubabad ,1/1/2019,January,2019,13480
Mahabubabad ,1/2/2019,February,2019,13545
Mahabubabad ,1/3/2019,March,2019,13490
Mahabubabad ,1/4/2019,April,2019,12980
Mahabubabad ,1/5/2019,May,2019,11970
Mahabubabad ,1/6/2019,June,2019,11460
Mahabubabad ,1/7/2019,July,2019,13470
Mahabubabad ,1/8/2019,August,2019,12190
Mahabubabad ,1/9/2019,September,2019,13210
Mahabubabad ,1/10/2019,October,2019,12260
Mahabubabad ,1/11/2019,November,2019,12470
Mahabubabad ,1/12/2019,December,2019,12360
Mahbubnagar,1/1/2019,January,2019,168082
Mahbubnagar,1/2/2019,February,2019,798949
Mahbubnagar,1/3/2019,March,2019,173658
Mahbubnagar,1/4/2019,April,2019,183268
Mahbubnagar,1/5/2019,May,2019,175202
Mahbubnagar,1/6/2019,June,2019,175853
Mahbubnagar,1/7/2019,July,2019,100398
Mahbubnagar,1/8/2019,August,2019,104787
Mahbubnagar,1/9/2019,September,2019,141387
Mahbubnagar,1/10/2019,October,2019,130227
Mahbubnagar,1/11/2019,November,2019,234066
Mahbubnagar,1/12/2019,December,2019,148938
Mancherial,1/1/2019,January,2019,18420
Mancherial,1/2/2019,February,2019,26325
Mancherial,1/3/2019,March,2019,16253
Mancherial,1/4/2019,April,2019,23026
Mancherial,1/5/2019,May,2019,26616
Mancherial,1/6/2019,June,2019,24593
Mancherial,1/7/2019,July,2019,22303
Mancherial,1/8/2019,August,2019,21191
Mancherial,1/9/2019,September,2019,24079
Mancherial,1/10/2019,October,2019,20867
Mancherial,1/11/2019,November,2019,29302
Mancherial,1/12/2019,December,2019,16835
Medak ,1/1/2019,January,2019,400000
Medak ,1/2/2019,February,2019,600000
Medak ,1/3/2019,March,2019,1000000
Medak ,1/4/2019,April,2019,650000
Medak ,1/5/2019,May,2019,400000
Medak ,1/6/2019,June,2019,300000
Medak ,1/7/2019,July,2019,350000
Medak ,1/8/2019,August,2019,349900
Medak ,1/9/2019,September,2019,350400
Medak ,1/10/2019,October,2019,350000
Medak ,1/11/2019,November,2019,351560
Medak ,1/12/2019,December,2019,350710
Medchal ,1/1/2019,January,2019, 
Medchal ,1/2/2019,February,2019, 
Medchal ,1/3/2019,March,2019, 
Medchal ,1/4/2019,April,2019, 
Medchal ,1/5/2019,May,2019, 
Medchal ,1/6/2019,June,2019, 
Medchal ,1/7/2019,July,2019, 
Medchal ,1/8/2019,August,2019, 
Medchal ,1/9/2019,September,2019, 
Medchal ,1/10/2019,October,2019, 
Medchal ,1/11/2019,November,2019, 
Medchal ,1/12/2019,December,2019, 
Mulugu,1/1/2019,January,2019,0
Mulugu,1/2/2019,February,2019,159640
Mulugu,1/3/2019,March,2019,156610
Mulugu,1/4/2019,April,2019,152570
Mulugu,1/5/2019,May,2019,154550
Mulugu,1/6/2019,June,2019,163480
Mulugu,1/7/2019,July,2019,167700
Mulugu,1/8/2019,August,2019,171050
Mulugu,1/9/2019,September,2019,172900
Mulugu,1/10/2019,October,2019,172500
Mulugu,1/11/2019,November,2019,173700
Mulugu,1/12/2019,December,2019,175100
Nagarkurnool ,1/1/2019,January,2019,228812
Nagarkurnool ,1/2/2019,February,2019,286258
Nagarkurnool ,1/3/2019,March,2019,184508
Nagarkurnool ,1/4/2019,April,2019,121460
Nagarkurnool ,1/5/2019,May,2019,184372
Nagarkurnool ,1/6/2019,June,2019,184508
Nagarkurnool ,1/7/2019,July,2019,93450
Nagarkurnool ,1/8/2019,August,2019,118010
Nagarkurnool ,1/9/2019,September,2019,175712
Nagarkurnool ,1/10/2019,October,2019,196160
Nagarkurnool ,1/11/2019,November,2019,121425
Nagarkurnool ,1/12/2019,December,2019,198637
Nalgonda,1/1/2019,January,2019,21284
Nalgonda,1/2/2019,February,2019,13697
Nalgonda,1/3/2019,March,2019,8467
Nalgonda,1/4/2019,April,2019,7202
Nalgonda,1/5/2019,May,2019,26338
Nalgonda,1/6/2019,June,2019,5558
Nalgonda,1/7/2019,July,2019,19783
Nalgonda,1/8/2019,August,2019,7473
Nalgonda,1/9/2019,September,2019,5230
Nalgonda,1/10/2019,October,2019,5290
Nalgonda,1/11/2019,November,2019,7177
Nalgonda,1/12/2019,December,2019,13419
Narayanapet,1/1/2019,January,2019,
Narayanapet,1/2/2019,February,2019,
Narayanapet,1/3/2019,March,2019,
Narayanapet,1/4/2019,April,2019,
Narayanapet,1/5/2019,May,2019,
Narayanapet,1/6/2019,June,2019,
Narayanapet,1/7/2019,July,2019,68842
Narayanapet,1/8/2019,August,2019,72249
Narayanapet,1/9/2019,September,2019,62841
Narayanapet,1/10/2019,October,2019,58213
Narayanapet,1/11/2019,November,2019,62750
Narayanapet,1/12/2019,December,2019,64355
Nirmal,1/1/2019,January,2019,313675
Nirmal,1/2/2019,February,2019,443898
Nirmal,1/3/2019,March,2019,424964
Nirmal,1/4/2019,April,2019,327971
Nirmal,1/5/2019,May,2019,149705
Nirmal,1/6/2019,June,2019,349747
Nirmal,1/7/2019,July,2019,359495
Nirmal,1/8/2019,August,2019,334646
Nirmal,1/9/2019,September,2019,299827
Nirmal,1/10/2019,October,2019,263412
Nirmal,1/11/2019,November,2019,253388
Nirmal,1/12/2019,December,2019,296050
Nizamabad,1/1/2019,January,2019,878
Nizamabad,1/2/2019,February,2019,915
Nizamabad,1/3/2019,March,2019,938
Nizamabad,1/4/2019,April,2019,958
Nizamabad,1/5/2019,May,2019,1193
Nizamabad,1/6/2019,June,2019,686
Nizamabad,1/7/2019,July,2019,990
Nizamabad,1/8/2019,August,2019,1004
Nizamabad,1/9/2019,September,2019,6572
Nizamabad,1/10/2019,October,2019,8849
Nizamabad,1/11/2019,November,2019,11950
Nizamabad,1/12/2019,December,2019,11400
Peddapalli,1/1/2019,January,2019,1055
Peddapalli,1/2/2019,February,2019,1157
Peddapalli,1/3/2019,March,2019,895
Peddapalli,1/4/2019,April,2019,942
Peddapalli,1/5/2019,May,2019,802
Peddapalli,1/6/2019,June,2019,735
Peddapalli,1/7/2019,July,2019,1085
Peddapalli,1/8/2019,August,2019,1505
Peddapalli,1/9/2019,September,2019,1785
Peddapalli,1/10/2019,October,2019,2080
Peddapalli,1/11/2019,November,2019,2225
Peddapalli,1/12/2019,December,2019,2315
Rajanna Sircilla ,1/1/2019,January,2019,6188298
Rajanna Sircilla ,1/2/2019,February,2019,1015550
Rajanna Sircilla ,1/3/2019,March,2019,1444971
Rajanna Sircilla ,1/4/2019,April,2019,1148062
Rajanna Sircilla ,1/5/2019,May,2019,1018131
Rajanna Sircilla ,1/6/2019,June,2019,1128849
Rajanna Sircilla ,1/7/2019,July,2019,422961
Rajanna Sircilla ,1/8/2019,August,2019,586118
Rajanna Sircilla ,1/9/2019,September,2019,501293
Rajanna Sircilla ,1/10/2019,October,2019,646492
Rajanna Sircilla ,1/11/2019,November,2019,1259371
Rajanna Sircilla ,1/12/2019,December,2019,1472801
Ranga Reddy,1/1/2019,January,2019, 
Ranga Reddy,1/2/2019,February,2019, 
Ranga Reddy,1/3/2019,March,2019, 
Ranga Reddy,1/4/2019,April,2019, 
Ranga Reddy,1/5/2019,May,2019, 
Ranga Reddy,1/6/2019,June,2019, 
Ranga Reddy,1/7/2019,July,2019, 
Ranga Reddy,1/8/2019,August,2019, 
Ranga Reddy,1/9/2019,September,2019, 
Ranga Reddy,1/10/2019,October,2019, 
Ranga Reddy,1/11/2019,November,2019, 
Ranga Reddy,1/12/2019,December,2019, 
Sangareddy ,1/1/2019,January,2019,144000
Sangareddy ,1/2/2019,February,2019,148000
Sangareddy ,1/3/2019,March,2019,747000
Sangareddy ,1/4/2019,April,2019,205000
Sangareddy ,1/5/2019,May,2019,133000
Sangareddy ,1/6/2019,June,2019,347000
Sangareddy ,1/7/2019,July,2019,467000
Sangareddy ,1/8/2019,August,2019,466150
Sangareddy ,1/9/2019,September,2019,468350
Sangareddy ,1/10/2019,October,2019,467470
Sangareddy ,1/11/2019,November,2019,481720
Sangareddy ,1/12/2019,December,2019,478470
Siddipet,1/1/2019,January,2019,140793
Siddipet,1/2/2019,February,2019,199549
Siddipet,1/3/2019,March,2019,204600
Siddipet,1/4/2019,April,2019,184412
Siddipet,1/5/2019,May,2019,110500
Siddipet,1/6/2019,June,2019,1037000
Siddipet,1/7/2019,July,2019,179320
Siddipet,1/8/2019,August,2019,190750
Siddipet,1/9/2019,September,2019,122550
Siddipet,1/10/2019,October,2019,191330
Siddipet,1/11/2019,November,2019,209130
Siddipet,1/12/2019,December,2019,217930
Suryapet,1/1/2019,January,2019,
Suryapet,1/2/2019,February,2019,
Suryapet,1/3/2019,March,2019,
Suryapet,1/4/2019,April,2019,
Suryapet,1/5/2019,May,2019,
Suryapet,1/6/2019,June,2019,
Suryapet,1/7/2019,July,2019,
Suryapet,1/8/2019,August,2019,
Suryapet,1/9/2019,September,2019,
Suryapet,1/10/2019,October,2019,
Suryapet,1/11/2019,November,2019,
Suryapet,1/12/2019,December,2019,
Vikarabad,1/1/2019,January,2019, 
Vikarabad,1/2/2019,February,2019, 
Vikarabad,1/3/2019,March,2019, 
Vikarabad,1/4/2019,April,2019, 
Vikarabad,1/5/2019,May,2019, 
Vikarabad,1/6/2019,June,2019, 
Vikarabad,1/7/2019,July,2019, 
Vikarabad,1/8/2019,August,2019, 
Vikarabad,1/9/2019,September,2019, 
Vikarabad,1/10/2019,October,2019, 
Vikarabad,1/11/2019,November,2019, 
Vikarabad,1/12/2019,December,2019, 
Wanaparthy ,1/1/2019,January,2019,28131
Wanaparthy ,1/2/2019,February,2019,22342
Wanaparthy ,1/3/2019,March,2019,20050
Wanaparthy ,1/4/2019,April,2019,23749
Wanaparthy ,1/5/2019,May,2019,20010
Wanaparthy ,1/6/2019,June,2019,20050
Wanaparthy ,1/7/2019,July,2019,32625
Wanaparthy ,1/8/2019,August,2019,35860
Wanaparthy ,1/9/2019,September,2019,21375
Wanaparthy ,1/10/2019,October,2019,21234
Wanaparthy ,1/11/2019,November,2019,32657
Wanaparthy ,1/12/2019,December,2019,20556
Warangal (Rural),1/1/2019,January,2019,28700
Warangal (Rural),1/2/2019,February,2019,28800
Warangal (Rural),1/3/2019,March,2019,29000
Warangal (Rural),1/4/2019,April,2019,26900
Warangal (Rural),1/5/2019,May,2019,24900
Warangal (Rural),1/6/2019,June,2019,27100
Warangal (Rural),1/7/2019,July,2019,28600
Warangal (Rural),1/8/2019,August,2019,31600
Warangal (Rural),1/9/2019,September,2019,32600
Warangal (Rural),1/10/2019,October,2019,31100
Warangal (Rural),1/11/2019,November,2019,32150
Warangal (Rural),1/12/2019,December,2019,32050
Warangal (Urban),1/1/2019,January,2019,151545
Warangal (Urban),1/2/2019,February,2019,157755
Warangal (Urban),1/3/2019,March,2019,154305
Warangal (Urban),1/4/2019,April,2019,150425
Warangal (Urban),1/5/2019,May,2019,143230
Warangal (Urban),1/6/2019,June,2019,144400
Warangal (Urban),1/7/2019,July,2019,145440
Warangal (Urban),1/8/2019,August,2019,148030
Warangal (Urban),1/9/2019,September,2019,151070
Warangal (Urban),1/10/2019,October,2019,147450
Warangal (Urban),1/11/2019,November,2019,153880
Warangal (Urban),1/12/2019,December,2019,147700
Yadadri Bhongir,1/1/2019,January,2019,479293
Yadadri Bhongir,1/2/2019,February,2019,56525
Yadadri Bhongir,1/3/2019,March,2019,481923
Yadadri Bhongir,1/4/2019,April,2019,441150
Yadadri Bhongir,1/5/2019,May,2019,345790
Yadadri Bhongir,1/6/2019,June,2019,370566
Yadadri Bhongir,1/7/2019,July,2019,332770
Yadadri Bhongir,1/8/2019,August,2019,389010
Yadadri Bhongir,1/9/2019,September,2019,366862
Yadadri Bhongir,1/10/2019,October,2019,381860
Yadadri Bhongir,1/11/2019,November,2019,365990
Yadadri Bhongir,1/12/2019,December,2019,477635
