district,date,month,year,dvisitors_2019
Adilabad,1/1/2019,January,2019,25071
Adilabad,1/2/2019,February,2019,406177
Adilabad,1/3/2019,March,2019,14347
Adilabad,1/4/2019,April,2019,9972
Adilabad,1/5/2019,May,2019,6997
Adilabad,1/6/2019,June,2019,9161
Adilabad,1/7/2019,July,2019,11791
Adilabad,1/8/2019,August,2019,108173
Adilabad,1/9/2019,September,2019,37589
Adilabad,1/10/2019,October,2019,38184
Adilabad,1/11/2019,November,2019,70344
Adilabad,1/12/2019,December,2019,38089
Bhadradri Kothagudem ,1/1/2019,January,2019,283365
Bhadradri Kothagudem ,1/2/2019,February,2019,229159
Bhadradri Kothagudem ,1/3/2019,March,2019,225448
Bhadradri Kothagudem ,1/4/2019,April,2019,349585
Bhadradri Kothagudem ,1/5/2019,May,2019,275800
Bhadradri Kothagudem ,1/6/2019,June,2019,9761776
Bhadradri Kothagudem ,1/7/2019,July,2019,233338
Bhadradri Kothagudem ,1/8/2019,August,2019,271941
Bhadradri Kothagudem ,1/9/2019,September,2019,314199
Bhadradri Kothagudem ,1/10/2019,October,2019,287432
Bhadradri Kothagudem ,1/11/2019,November,2019,298366
Bhadradri Kothagudem ,1/12/2019,December,2019,287328
Hyderabad,1/1/2019,January,2019,1426500
Hyderabad,1/2/2019,February,2019,983147
Hyderabad,1/3/2019,March,2019,1009991
Hyderabad,1/4/2019,April,2019,1045933
Hyderabad,1/5/2019,May,2019,1305748
Hyderabad,1/6/2019,June,2019,1262995
Hyderabad,1/7/2019,July,2019,1094861
Hyderabad,1/8/2019,August,2019,1121380
Hyderabad,1/9/2019,September,2019,959930
Hyderabad,1/10/2019,October,2019,1240643
Hyderabad,1/11/2019,November,2019,1073665
Hyderabad,1/12/2019,December,2019,1277569
Jagtial ,1/1/2019,January,2019,211913
Jagtial ,1/2/2019,February,2019,215105
Jagtial ,1/3/2019,March,2019,194090
Jagtial ,1/4/2019,April,2019,447226
Jagtial ,1/5/2019,May,2019,500206
Jagtial ,1/6/2019,June,2019,235363
Jagtial ,1/7/2019,July,2019,157419
Jagtial ,1/8/2019,August,2019,151570
Jagtial ,1/9/2019,September,2019,157564
Jagtial ,1/10/2019,October,2019,165070
Jagtial ,1/11/2019,November,2019,277630
Jagtial ,1/12/2019,December,2019,372959
